# Jingwei AI Keyboard merged lexicon
# Format: pinyin<TAB>candidate1|candidate2...<TAB>weight1|weight2...
# Base chat phrases + Rime pinyin-simp, frequency preserved
# Upstream: https://github.com/rime/rime-pinyin-simp
deng	凳|噔|嶝|戥|澄|灯|燈|登|瞪|磴|等|蹬|邓|鄧|鐙|镫|簦|豋|墱|嬁|璒	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|4|4|1|1|1
di	低|地|堤|帝|底|弟|抵|敌|滴|狄|的|睇|第|蒂|迪|递|笛|谛|娣|嘀|荻|涤|邸|旳	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|433|238|210|175|150|143|117|106
dian	丶|典|垫|店|掂|殿|滇|点|电|甸|癫|碘|踮|靛|颠|點|淀|巅|奠|佃|癜|簟|钿|惦	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|75|65|57|48|33|29|27|26
diao	凋|刁|叼|吊|屌|弔|掉|碉|调|貂|钓|铞|雕|鲷|鸟|迪奥|釣|伄|弴|魡|蛁|鯛|彫|琱	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|8|5|5|4|3|3|2|2
die	叠|喋|垤|堞|爹|牒|疊|碟|耋|蝶|褋|諜|谍|跌|迭|鲽|蹀|瓞|疂|昳|咥|峌|嵽|畳	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|5|4|4|3|1|1|1|1
ding	丁|叮|啶|定|玎|町|盯|碇|腚|订|酊|钉|锭|頂|顶|鼎|仃|釘|疔|訂|耵|萣|掟|錠	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|17|11|9|9|6|6|5|5
diu	丟|丢|銩|铥|颩	500000|500000|500000|500000|500000
dong	东|侗|冬|冻|动|動|咚|夂|峒|懂|東|栋|氡|洞|硐|董|恫|棟|胴|垌|鸫|凍|岽|戙	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|24|13|13|11|9|7|6|6
dou	兜|抖|斗|枓|痘|窦|篼|脰|蔸|蚪|豆|逗|都|钭|陡|鬥|闘|竇|荳|鈄|鬪|唗|梪|浢	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|7|3|2|2|2|1|1|1
du	嘟|堵|妒|度|杜|毒|渡|独|督|睹|笃|肚|读|赌|都|镀|犊|渎|讀|蠹|獨|顿|殰|牍	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|91|52|46|37|32|25|24|21
duan	偳|断|斷|椴|段|毈|煅|短|端|簖|籪|緞|缎|葮|鍛|锻|媏|碫|腶|躖	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|1|1|1|1
dui	兌|兑|堆|对|対|對|怼|憝|懟|搥|敦|濧|碓|镦|队|隊|瀩|痽|祋|薱|譈|頧|鴭	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|1|1|1|1|1|1|1
dun	吨|囤|墩|惇|敦|沌|炖|盹|盾|礅|趸|蹲|遁|钝|頓|顿|鐓|伅|噸|燉|砘|不|楯|潡	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|11|10|7|6|5|3|3|3
duo	剁|剟|哆|哚|垛|堕|多|夺|惰|掇|朵|舵|跺|踱|躲|铎|敓|埵|咄|柁|奪|墮|朶|驮	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|23|22|16|15|9|7|5|5
e	俄|厄|呃|哦|噩|娥|峨|恶|扼|莪|蛾|诶|鄂|额|饿|鹅|屙|鳄|丨|萼|讹|颚|峩|遏	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|83|83|77|72|69|69|65|60
en	唔|嗯|奀|峎|恩|摁|蒽	500000|500000|500000|500000|500000|500000|500000
er	二|儿|兒|尔|弍|洏|洱|爾|珥|而|耳|贰|迩|铒|饵|鸸|栭|貳|侕|餌|鲕|佴|弐|邇	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|16|9|5|4|4|3|3|3
fa	乏|伐|发|垡|沷|法|珐|発|發|砝|筏|罚|罰|阀|髪|髮|琺|醗|閥|疺|瞂|罸|藅	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|2|2|2|1|1|1|1
fan	凡|反|帆|梵|樊|泛|烦|犯|番|繁|翻|范|藩|贩|返|饭|钒|蕃|幡|攵|矾|勫|飯|畈	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|176|97|81|75|74|54|48|42
fang	仿|坊|妨|彷|房|放|方|昉|枋|纺|肪|舫|芳|访|防|鲂|倣|訪|钫|紡|邡|昞|鈁|魴	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|9|8|7|5|4|2|2|2
fei	匪|吠|妃|废|扉|斐|沸|绯|翡|肥|肺|菲|费|霏|非|飞|啡|飛|鐨|腓|诽|費|痱|俷	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|70|59|50|46|38|29|24|22
fen	份|分|坟|奋|忿|愤|氛|汾|瀵|焚|粉|粪|纷|芬|酚|鼢|吩|濆|偾|玢|鲼|墳|棻|蚡	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|18|18|9|9|9|8|8|8
feng	丰|冯|凤|奉|封|峰|枫|沣|烽|疯|缝|蜂|讽|逢|锋|风|風|俸|砜|鳳|葑|瘋|賵|酆	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|79|56|29|23|22|20|18|13
fo	仏|佛|坲	500000|500000|500000
fou	否|紑|缶|缹|鴀	500000|500000|500000|500000|500000
fu	付|傅|副|复|夫|富|府|扶|服|浮|父|福|符|负|赴|附|幅|腹|伏|敷|赋|弗|甫|妇	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|935|870|826|697|671|655|636|620
